episode,timestep,reward
2696,596000,238.0455
2707,598000,233.8741
2715,600000,236.7488
2724,602000,238.5188
2733,604000,277.1637
2743,606000,254.3625
2752,608000,286.8557
2760,610000,271.1965
2769,612000,288.0134
2778,614000,217.7153
2787,616000,232.1576
2797,618000,282.5888
2806,620000,243.0849
2815,622000,273.279
2825,624000,280.7479
2835,626000,270.1106
2845,628000,285.4591
2855,630000,288.3673
2863,632000,275.7111
2873,634000,290.2303
2883,636000,279.4026
2893,638000,283.7673
2903,640000,284.6207
2912,642000,234.5593
2920,644000,278.8571
2928,646000,123.8816
2937,648000,280.2435
2948,650000,238.3215
2958,652000,272.3484
2967,654000,283.9311
2977,656000,184.4829
2986,658000,269.8912
2994,660000,272.6534
3004,662000,284.4465
3013,664000,284.0201
3023,666000,278.3594
3032,668000,275.9792
3040,670000,275.3266
3052,672000,238.9319
3061,674000,282.6579
3071,676000,261.3116
3080,678000,282.6917
3091,680000,234.0051
3101,682000,284.3112
3111,684000,253.1598
3116,686000,229.879
3126,688000,279.2319
3136,690000,240.2501
3145,692000,285.4284
3156,694000,272.9971
3167,696000,281.4483
3169,698000,201.8646
3171,700000,144.7835
3175,702000,261.2235
3177,704000,148.8497
3183,706000,269.1671
3187,708000,191.2989
3192,710000,202.0065
3197,712000,243.7682
3203,714000,281.7397
3211,716000,268.096
3221,718000,260.2647
3231,720000,244.8666
3243,722000,170.8898
3252,724000,297.8087
3262,726000,246.9123
3271,728000,237.8096
3282,730000,269.8685
3291,732000,251.7179
3301,734000,287.802
3312,736000,234.357
3323,738000,252.4787
3333,740000,284.6494
3344,742000,235.9498
3355,744000,173.1016
3367,746000,239.1578
3378,748000,237.6216
3388,750000,253.0929
3399,752000,240.5835
3406,754000,265.5681
3417,756000,212.8075
3427,758000,245.7965
3437,760000,236.6326
3448,762000,278.5084
3458,764000,211.798
3468,766000,249.8327
3477,768000,222.4919
3488,770000,237.2439
3495,772000,245.8137
3507,774000,242.1801
3517,776000,282.576
3520,778000,155.0326
3522,780000,144.7052
3524,782000,147.9218
3528,784000,247.4881
3531,786000,241.488
3534,788000,198.8706
3543,790000,251.8519
3547,792000,256.9885
3555,794000,233.8918
3562,796000,248.8222
3570,798000,248.7883
3576,800000,292.5538
3585,802000,194.9471
3593,804000,272.0075
3604,806000,262.1084
3614,808000,235.3137
3623,810000,285.9856
3633,812000,239.6617
3644,814000,211.708
3654,816000,250.0574
3664,818000,196.5022
3673,820000,284.4254
3683,822000,240.2942
3693,824000,275.0061
3704,826000,279.0574
3710,828000,279.6769
3721,830000,272.9855
3731,832000,282.6327
3741,834000,291.8104
3751,836000,277.7696
3762,838000,214.5663
3772,840000,260.9795
3782,842000,292.2248
3793,844000,284.613
3799,846000,250.4534
3809,848000,288.1643
3820,850000,280.1828
3826,852000,215.4548
3836,854000,222.9163
3842,856000,259.9445
3852,858000,285.558
3863,860000,278.0133
3874,862000,283.0691
3885,864000,288.5501
3896,866000,279.8161
3907,868000,263.8994
3917,870000,254.1246
3930,872000,203.3228
3935,874000,236.1825
3947,876000,233.1777
3959,878000,215.8725
3969,880000,281.7027
3974,882000,208.4922
3983,884000,256.0362
3996,886000,225.3731
4007,888000,238.7824
4015,890000,293.5238
4025,892000,231.976
4036,894000,264.9689
4046,896000,262.7695
4054,898000,241.6191
4065,900000,259.1228
4075,902000,284.152
4082,904000,272.2545
4092,906000,278.2783
4100,908000,288.5638
4109,910000,256.9451
4119,912000,193.9783
4130,914000,264.5224
4140,916000,178.1001
4150,918000,259.1458
4160,920000,222.5725
4169,922000,150.6671
4179,924000,201.7366
4190,926000,250.0956
4197,928000,275.3686
4205,930000,267.2856
4215,932000,263.1254
4225,934000,286.2473
4236,936000,281.8325
4246,938000,282.0185
4255,940000,252.7108
4266,942000,272.5806
4275,944000,264.6878
4284,946000,185.5527
4292,948000,209.5201
4303,950000,260.1609
4313,952000,289.37
4320,954000,191.2922
4331,956000,263.6145
4341,958000,279.9915
4352,960000,262.4533
4363,962000,280.2869
4375,964000,187.4236
4386,966000,262.581
4397,968000,262.1933
4408,970000,238.688
4416,972000,234.444
4426,974000,286.6773
4436,976000,288.0025
4447,978000,276.6319
4457,980000,278.9275
4467,982000,250.6398
4476,984000,239.9727
4485,986000,288.2924
4497,988000,293.3935
4506,990000,256.3109
4516,992000,293.6208
4527,994000,243.8794
4539,996000,260.221
4550,998000,248.2174
4557,1000000,210.1639
4566,1002000,214.3
4578,1004000,237.9189
4589,1006000,268.8865
4600,1008000,283.3364
4608,1010000,265.7278
4619,1012000,261.6771
4630,1014000,287.863
4640,1016000,279.0204
4647,1018000,167.6981
4649,1020000,119.1756
4659,1022000,265.0829
4669,1024000,245.1662
4678,1026000,192.2637
4683,1028000,245.6925
4690,1030000,238.0586
4694,1032000,247.0038
4702,1034000,168.636
4710,1036000,270.2043
4716,1038000,190.3603
4727,1040000,257.5403
4735,1042000,185.5481
4746,1044000,259.0321
4757,1046000,273.9829
4768,1048000,265.5772
4778,1050000,276.7555
4788,1052000,283.4861
4794,1054000,241.7103
4804,1056000,287.5266
4814,1058000,273.9897
4820,1060000,246.6494
4830,1062000,287.8071
4843,1064000,244.053
4852,1066000,249.2061
4861,1068000,203.5539
4872,1070000,227.8335
4881,1072000,242.0884
4891,1074000,282.9237
4902,1076000,298.4227
4913,1078000,261.3922
4923,1080000,284.8383
4934,1082000,284.789
4943,1084000,250.7002
4952,1086000,268.4196
4963,1088000,222.3172
4975,1090000,257.1668
4981,1092000,261.6169
4989,1094000,269.9915
5000,1096000,242.8327
5011,1098000,280.4313
5023,1100000,260.3438
5033,1102000,234.3823
5041,1104000,175.263
5048,1106000,262.655
5055,1108000,287.608
5065,1110000,273.2231
5073,1112000,277.9413
5084,1114000,232.4073
5095,1116000,256.5798
5103,1118000,277.4077
5113,1120000,257.7471
5123,1122000,286.6594
5130,1124000,251.0469
5136,1126000,234.6311
5146,1128000,270.4926
5157,1130000,288.8855
5165,1132000,278.3586
5173,1134000,264.2081
5185,1136000,264.4547
5192,1138000,229.8022
5203,1140000,266.1655
5213,1142000,209.702
5223,1144000,195.3628
5235,1146000,262.9995
5243,1148000,268.2901
5254,1150000,226.6623
5260,1152000,260.9909
5269,1154000,290.636
5276,1156000,222.3345
5287,1158000,264.7914
5296,1160000,265.5764
5305,1162000,265.8243
5311,1164000,273.2827
5317,1166000,260.5435
5327,1168000,290.5071
5339,1170000,270.2539
5348,1172000,277.6301
5356,1174000,268.1419
5367,1176000,256.1432
5378,1178000,284.4388
5389,1180000,278.6044
5396,1182000,270.8227
5407,1184000,265.9305
5419,1186000,242.9973
5431,1188000,257.3577
5438,1190000,201.2457
5451,1192000,200.5761
5463,1194000,268.6553
5473,1196000,287.4275
5483,1198000,288.8162
5495,1200000,251.6321
5506,1202000,231.4842
5511,1204000,253.9849
5524,1206000,228.8158
5531,1208000,249.3828
5540,1210000,194.7417
5551,1212000,268.6455
5560,1214000,287.7425
5563,1216000,161.58
5570,1218000,261.0654
5577,1220000,260.6078
5583,1222000,210.6858
5593,1224000,243.3088
5605,1226000,283.1071
5614,1228000,212.1388
5625,1230000,269.6529
5633,1232000,223.8675
5642,1234000,276.331
5648,1236000,265.2437
5659,1238000,262.7917
5670,1240000,276.2347
5677,1242000,273.0774
5687,1244000,280.8285
5697,1246000,255.8568
5706,1248000,268.5627
5713,1250000,228.1237
5724,1252000,279.7921
5735,1254000,277.4587
5747,1256000,284.9481
5757,1258000,282.359
5764,1260000,228.5715
5775,1262000,297.9197
5785,1264000,289.165
5789,1266000,202.2462
5798,1268000,272.9687
5805,1270000,190.5674
5817,1272000,244.5178
5829,1274000,229.5262
5838,1276000,243.6398
5846,1278000,192.3399
5857,1280000,281.4226
5869,1282000,284.6889
5879,1284000,281.7409
5887,1286000,217.4014
5893,1288000,264.2231
5904,1290000,260.3093
5911,1292000,256.1128
5918,1294000,236.273
5929,1296000,286.7277
5937,1298000,216.624
5947,1300000,261.7469
5954,1302000,223.5296
5963,1304000,275.3838
5974,1306000,286.0563
5985,1308000,281.8032
5995,1310000,274.9409
6006,1312000,280.4897
6011,1314000,260.9755
6021,1316000,269.9797
6032,1318000,272.3456
6043,1320000,281.5939
6049,1322000,244.1548
6060,1324000,274.7726
6071,1326000,270.479
6081,1328000,283.2891
6087,1330000,265.1769
6098,1332000,267.8194
6109,1334000,257.6472
6120,1336000,248.726
6122,1338000,41.9613
6124,1340000,109.9142
6126,1342000,111.7322
6129,1344000,107.8873
6133,1346000,171.585
6137,1348000,236.6062
6140,1350000,167.6233
6145,1352000,267.6971
6152,1354000,286.9947
6160,1356000,250.8428
6163,1358000,112.3247
6171,1360000,193.9725
6177,1362000,261.0646
6185,1364000,262.5482
6194,1366000,210.2009
6201,1368000,228.0059
6212,1370000,194.5745
6218,1372000,163.8526
6221,1374000,215.1484
6229,1376000,240.4598
6239,1378000,262.0123
6244,1380000,236.4189
6252,1382000,210.3274
6257,1384000,246.6973
6263,1386000,250.1267
6271,1388000,236.3726
6281,1390000,227.6673
6290,1392000,197.729
6293,1394000,258.5159
6305,1396000,164.7496
6310,1398000,221.8142
6316,1400000,204.8016
6328,1402000,240.7834
6332,1404000,253.6561
6343,1406000,180.9572
6351,1408000,205.4758
6360,1410000,261.514
6367,1412000,269.9166
6372,1414000,246.6381
6375,1416000,106.1427
6383,1418000,234.4313
6387,1420000,90.9677
6396,1422000,233.209
6407,1424000,247.7106
6411,1426000,229.5811
6416,1428000,190.3169
6426,1430000,189.2891
6439,1432000,219.4342
6446,1434000,165.4842
6450,1436000,175.4831
6456,1438000,226.6081
6463,1440000,224.4523
6471,1442000,143.7557
6475,1444000,267.8303
6486,1446000,226.0254
6495,1448000,254.0097
6499,1450000,195.1605
6509,1452000,168.7231
6517,1454000,180.0431
6529,1456000,222.3504
6543,1458000,137.6697
6552,1460000,161.6162
6564,1462000,238.9683
6573,1464000,240.7973
6585,1466000,196.0687
6591,1468000,181.4545
6601,1470000,255.1235
6608,1472000,254.9346
6616,1474000,114.3364
6627,1476000,265.35
6633,1478000,249.4341
6640,1480000,262.4055
6646,1482000,258.5393
6655,1484000,201.6237
6660,1486000,249.2231
6669,1488000,247.7249
6680,1490000,279.7651
6686,1492000,257.2873
6693,1494000,281.8019
6703,1496000,289.2451
6710,1498000,235.3817
6717,1500000,250.0695
6723,1502000,266.3453
6731,1504000,248.7234
6735,1506000,203.4772
6746,1508000,255.0435
6750,1510000,282.241
6756,1512000,146.3241
6765,1514000,248.113
6770,1516000,250.3117
6775,1518000,236.9269
6786,1520000,257.4763
6796,1522000,275.3244
6806,1524000,250.9244
6813,1526000,228.0367
6824,1528000,287.3341
6830,1530000,251.6727
6840,1532000,203.8754
6850,1534000,269.4431
6855,1536000,251.3434
6859,1538000,241.7913
6868,1540000,278.4282
6874,1542000,277.4558
6880,1544000,213.4838
6890,1546000,236.2066
6895,1548000,231.6648
6906,1550000,210.7352
6910,1552000,204.2917
6914,1554000,225.1479
6923,1556000,235.2092
6934,1558000,234.1861
6945,1560000,238.0351
6956,1562000,229.5316
6966,1564000,278.055
6976,1566000,278.4649
6985,1568000,293.3852
6994,1570000,272.2229
6998,1572000,209.6305
7007,1574000,215.9352
7011,1576000,239.0958
7020,1578000,264.445
7027,1580000,223.5809
7034,1582000,283.5154
7043,1584000,245.7447
7050,1586000,216.5659
7060,1588000,277.2026
7064,1590000,235.4634
7071,1592000,271.434
7077,1594000,256.2634
7083,1596000,254.5964
7093,1598000,273.7909
7103,1600000,282.7752
7114,1602000,252.4476
7125,1604000,251.4104
7131,1606000,252.2724
7139,1608000,274.4676
7142,1610000,197.4907
7152,1612000,208.6507
7162,1614000,256.5062
7172,1616000,255.4296
7180,1618000,198.6276
7186,1620000,284.8914
7195,1622000,256.6564
7204,1624000,277.2765
7210,1626000,244.2424
7213,1628000,213.8786
7222,1630000,276.212
7230,1632000,256.8574
7236,1634000,243.948
7246,1636000,233.0632
7253,1638000,215.657
7259,1640000,244.367
7266,1642000,231.2668
7276,1644000,259.8844
7282,1646000,220.0181
7290,1648000,251.7177
7297,1650000,235.4649
7299,1652000,154.6642
7305,1654000,243.9726
7312,1656000,226.069
7316,1658000,180.221
7325,1660000,255.643
7332,1662000,187.3168
7339,1664000,255.2819
7349,1666000,277.5163
7355,1668000,214.2736
7365,1670000,253.2656
7370,1672000,251.0243
7374,1674000,243.3153
7384,1676000,279.93
7393,1678000,271.7915
7399,1680000,254.9905
7405,1682000,233.192
7409,1684000,259.3485
7418,1686000,276.4084
7425,1688000,256.8488
7435,1690000,270.9626
7441,1692000,221.8551
7448,1694000,216.5482
7456,1696000,273.5765
7461,1698000,159.8227
7468,1700000,219.0775
7474,1702000,218.9937
7481,1704000,237.8612
7489,1706000,234.2707
7498,1708000,255.291
7504,1710000,250.5498
7509,1712000,230.0359
7513,1714000,228.3951
7523,1716000,192.789
7530,1718000,212.4384
7536,1720000,254.2555
7544,1722000,223.1634
7553,1724000,194.7928
7560,1726000,219.574
7567,1728000,187.7305
7570,1730000,143.0278
7579,1732000,226.4322
7585,1734000,234.0063
7590,1736000,241.0795
7595,1738000,184.1862
7601,1740000,170.5962
7606,1742000,218.5961
7616,1744000,253.2387
7625,1746000,214.7922
7635,1748000,287.2089
7642,1750000,197.885
7652,1752000,256.5134
7658,1754000,267.2538
7665,1756000,221.5168
